Номер квартиры: 1, Этаж: 1, Площать: 30, Кол-во комнат: 2, Стоимость Т/Р: 90
Номер квартиры: 3, Этаж: 1, Площать: 25, Кол-во комнат: 2, Стоимость Т/Р: 65
Номер квартиры: 7, Этаж: 3, Площать: 40, Кол-во комнат: 3, Стоимость Т/Р: 120
Номер квартиры: 10, Этаж: 4, Площать: 35, Кол-во комнат: 3, Стоимость Т/Р: 100
Номер квартиры: 16, Этаж: 5, Площать: 60, Кол-во комнат: 4, Стоимость Т/Р: 150
Номер квартиры: 1, Этаж: 1, Площать: 30, Кол-во комнат: 2, Стоимость Т/Р: 90
Номер квартиры: 3, Этаж: 1, Площать: 25, Кол-во комнат: 2, Стоимость Т/Р: 65
Номер квартиры: 10, Этаж: 4, Площать: 35, Кол-во комнат: 3, Стоимость Т/Р: 100
Номер квартиры: 1, Этаж: 1, Площать: 30, Кол-во комнат: 2, Стоимость Т/Р: 90
Номер квартиры: 3, Этаж: 1, Площать: 25, Кол-во комнат: 2, Стоимость Т/Р: 65
Номер квартиры: 7, Этаж: 3, Площать: 40, Кол-во комнат: 3, Стоимость Т/Р: 120
Номер квартиры: 10, Этаж: 4, Площать: 35, Кол-во комнат: 3, Стоимость Т/Р: 100
Номер квартиры: 16, Этаж: 5, Площать: 60, Кол-во комнат: 4, Стоимость Т/Р: 150
Номер квартиры: 1, Этаж: 1, Площать: 30, Кол-во комнат: 2, Стоимость Т/Р: 90
Номер квартиры: 3, Этаж: 1, Площать: 25, Кол-во комнат: 2, Стоимость Т/Р: 65
Номер квартиры: 10, Этаж: 4, Площать: 35, Кол-во комнат: 3, Стоимость Т/Р: 100
Номер квартиры: 1, Этаж: 1, Площать: 30, Кол-во комнат: 2, Стоимость Т/Р: 90
Номер квартиры: 3, Этаж: 1, Площать: 25, Кол-во комнат: 2, Стоимость Т/Р: 65
Номер квартиры: 7, Этаж: 3, Площать: 40, Кол-во комнат: 3, Стоимость Т/Р: 120
Номер квартиры: 10, Этаж: 4, Площать: 35, Кол-во комнат: 3, Стоимость Т/Р: 100
Номер квартиры: 16, Этаж: 5, Площать: 60, Кол-во комнат: 4, Стоимость Т/Р: 150
Номер квартиры: 1, Этаж: 1, Площать: 30, Кол-во комнат: 2, Стоимость Т/Р: 90
Номер квартиры: 3, Этаж: 1, Площать: 25, Кол-во комнат: 2, Стоимость Т/Р: 65
Номер квартиры: 7, Этаж: 3, Площать: 40, Кол-во комнат: 3, Стоимость Т/Р: 120
Номер квартиры: 10, Этаж: 4, Площать: 35, Кол-во комнат: 3, Стоимость Т/Р: 100
Номер квартиры: 16, Этаж: 5, Площать: 60, Кол-во комнат: 4, Стоимость Т/Р: 150
Номер квартиры: 1, Этаж: 1, Площать: 30, Кол-во комнат: 2, Стоимость Т/Р: 90
Номер квартиры: 3, Этаж: 1, Площать: 25, Кол-во комнат: 2, Стоимость Т/Р: 65
Номер квартиры: 7, Этаж: 3, Площать: 40, Кол-во комнат: 3, Стоимость Т/Р: 120
Номер квартиры: 10, Этаж: 4, Площать: 35, Кол-во комнат: 3, Стоимость Т/Р: 100
Номер квартиры: 16, Этаж: 5, Площать: 60, Кол-во комнат: 4, Стоимость Т/Р: 150
Номер квартиры: 3, Этаж: 1, Площать: 25, Кол-во комнат: 2, Стоимость Т/Р: 65
Номер квартиры: 1, Этаж: 1, Площать: 30, Кол-во комнат: 2, Стоимость Т/Р: 90
Номер квартиры: 3, Этаж: 1, Площать: 25, Кол-во комнат: 2, Стоимость Т/Р: 65
Номер квартиры: 7, Этаж: 3, Площать: 40, Кол-во комнат: 3, Стоимость Т/Р: 120
Номер квартиры: 10, Этаж: 4, Площать: 35, Кол-во комнат: 3, Стоимость Т/Р: 100
Номер квартиры: 16, Этаж: 5, Площать: 60, Кол-во комнат: 4, Стоимость Т/Р: 150
Номер квартиры: 1, Этаж: 1, Площать: 30, Кол-во комнат: 2, Стоимость Т/Р: 90
Номер квартиры: 3, Этаж: 1, Площать: 25, Кол-во комнат: 2, Стоимость Т/Р: 65
Номер квартиры: 7, Этаж: 3, Площать: 40, Кол-во комнат: 3, Стоимость Т/Р: 120
Номер квартиры: 10, Этаж: 4, Площать: 35, Кол-во комнат: 3, Стоимость Т/Р: 100
Номер квартиры: 16, Этаж: 5, Площать: 60, Кол-во комнат: 4, Стоимость Т/Р: 150
